Time Force Active_Force Passive_Force  Lambda Derivative Mode Calcium Troponin CrossBridges Q1 Q2 Force
210 7.84977 8.32519 -0.475427 0.885352 7.44596e-07 2 0.340065 0.125385 0.0855637 1.7383e-06 -6.47775e-18 8.32534 
211 7.70168 8.17711 -0.475427 0.885352 7.44596e-07 2 0.338423 0.124356 0.0840418 1.49615e-06 -3.92846e-18 8.17726 
212 7.55557 8.031 -0.475427 0.885352 7.44596e-07 2 0.336786 0.123332 0.0825402 1.28774e-06 -2.38243e-18 8.03114 
213 7.41142 7.88684 -0.475427 0.885352 7.44596e-07 2 0.335155 0.122313 0.0810586 1.10835e-06 -1.44484e-18 7.88699 
214 7.26921 7.74464 -0.475427 0.885352 7.44596e-07 2 0.333529 0.1213 0.0795971 9.53956e-07 -8.76229e-19 7.74478 
215 7.12894 7.60437 -0.475427 0.885352 7.44596e-07 2 0.331909 0.120292 0.0781555 8.21068e-07 -5.31394e-19 7.60451 
216 6.9906 7.46603 -0.475427 0.885352 7.44596e-07 2 0.330293 0.11929 0.0767337 7.06692e-07 -3.22266e-19 7.46617 
217 6.85418 7.3296 -0.475427 0.885352 7.44596e-07 2 0.328683 0.118294 0.0753315 6.08249e-07 -1.9544e-19 7.32974 
218 6.71965 7.19508 -0.475427 0.885352 7.44596e-07 2 0.327079 0.117303 0.0739489 5.23519e-07 -1.18525e-19 7.19521 
219 6.58701 7.06244 -0.475427 0.885352 7.44596e-07 2 0.32548 0.116318 0.0725858 4.50592e-07 -7.18803e-20 7.06257 
220 6.45625 6.93168 -0.475427 0.885352 7.44596e-07 2 0.323886 0.115339 0.0712419 3.87823e-07 -4.35922e-20 6.93181 
221 6.32736 6.80279 -0.475427 0.885352 7.44596e-07 2 0.322298 0.114365 0.0699172 3.33799e-07 -2.64367e-20 6.80292 
222 6.20032 6.67575 -0.475427 0.885352 7.44596e-07 2 0.320716 0.113397 0.0686115 2.873e-07 -1.60327e-20 6.67587 
223 6.07512 6.55055 -0.475427 0.885352 7.44596e-07 2 0.319138 0.112434 0.0673247 2.47279e-07 -9.72308e-21 6.55067 
224 5.95175 6.42718 -0.475427 0.885352 7.44596e-07 2 0.317567 0.111477 0.0660567 2.12832e-07 -5.89661e-21 6.4273 
225 5.83019 6.30562 -0.475427 0.885352 7.44596e-07 2 0.316 0.110526 0.0648074 1.83185e-07 -3.57603e-21 6.30574 
226 5.71044 6.18586 -0.475427 0.885352 7.44596e-07 2 0.314439 0.10958 0.0635766 1.57667e-07 -2.1687e-21 6.18598 
227 5.59247 6.06789 -0.475427 0.885352 7.44596e-07 2 0.312884 0.10864 0.0623642 1.35703e-07 -1.31522e-21 6.06801 
228 5.47627 5.9517 -0.475427 0.885352 7.44596e-07 2 0.311334 0.107705 0.06117 1.168e-07 -7.9762e-22 5.95181 
229 5.36184 5.83727 -0.475427 0.885352 7.44596e-07 2 0.30979 0.106777 0.0599938 1.00529e-07 -4.83721e-22 5.83738 
230 5.24915 5.72458 -0.475427 0.885352 7.44596e-07 2 0.308251 0.105853 0.0588357 8.65254e-08 -2.93355e-22 5.72469 
231 5.13819 5.61362 -0.475427 0.885352 7.44596e-07 2 0.306718 0.104936 0.0576953 7.44722e-08 -1.77906e-22 5.61373 
232 5.02896 5.50438 -0.475427 0.885352 7.44596e-07 2 0.30519 0.104024 0.0565726 6.40981e-08 -1.07892e-22 5.50449 
233 4.92142 5.39685 -0.475427 0.885352 7.44596e-07 2 0.303668 0.103118 0.0554674 5.51692e-08 -6.54317e-23 5.39696 
234 4.81558 5.291 -0.475427 0.885352 7.44596e-07 2 0.302151 0.102217 0.0543795 4.7484e-08 -3.96814e-23 5.29111 
235 4.7114 5.18683 -0.475427 0.885352 7.44596e-07 2 0.30064 0.101323 0.0533089 4.08694e-08 -2.4065e-23 5.18693 
236 4.60889 5.08432 -0.475427 0.885352 7.44596e-07 2 0.299135 0.100433 0.0522553 3.51762e-08 -1.45943e-23 5.08442 
237 4.50802 4.98345 -0.475427 0.885352 7.44596e-07 2 0.297635 0.0995498 0.0512185 3.02761e-08 -8.85079e-24 4.98355 
238 4.40878 4.8842 -0.475427 0.885352 7.44596e-07 2 0.29614 0.0986719 0.0501986 2.60586e-08 -5.36761e-24 4.8843 
239 4.31115 4.78657 -0.475427 0.885352 7.44596e-07 2 0.294652 0.0977997 0.0491951 2.24286e-08 -3.25521e-24 4.78667 
240 4.21511 4.69054 -0.475427 0.885352 7.44596e-07 2 0.293168 0.0969331 0.0482081 1.93042e-08 -1.97414e-24 4.69063 
241 4.12066 4.59609 -0.475427 0.885352 7.44596e-07 2 0.291691 0.0960722 0.0472374 1.66151e-08 -1.19723e-24 4.59618 
242 4.02777 4.5032 -0.475427 0.885352 7.44596e-07 2 0.290219 0.0952169 0.0462827 1.43006e-08 -7.26063e-25 4.50329 
243 3.93643 4.41186 -0.475427 0.885352 7.44596e-07 2 0.288753 0.0943673 0.045344 1.23085e-08 -4.40325e-25 4.41195 
244 3.84663 4.32206 -0.475427 0.885352 7.44596e-07 2 0.287292 0.0935233 0.044421 1.05939e-08 -2.67037e-25 4.32215 
245 3.75834 4.23377 -0.475427 0.885352 7.44596e-07 2 0.285837 0.0926849 0.0435136 9.11817e-09 -1.61946e-25 4.23386 
246 3.67155 4.14698 -0.475427 0.885352 7.44596e-07 2 0.284387 0.0918522 0.0426216 7.84799e-09 -9.82129e-26 4.14707 
247 3.58625 4.06168 -0.475427 0.885352 7.44596e-07 2 0.282944 0.0910251 0.0417449 6.75475e-09 -5.95617e-26 4.06176 
248 3.50241 3.97784 -0.475427 0.885352 7.44596e-07 2 0.281505 0.0902036 0.0408832 5.8138e-09 -3.61215e-26 3.97792 
249 3.42003 3.89545 -0.475427 0.885352 7.44596e-07 2 0.280073 0.0893877 0.0400365 5.00393e-09 -2.1906e-26 3.89554 
250 3.33908 3.8145 -0.475427 0.885352 7.44596e-07 2 0.278646 0.0885775 0.0392045 4.30688e-09 -1.3285e-26 3.81458 
251 3.25954 3.73497 -0.475427 0.885352 7.44596e-07 2 0.277225 0.0877728 0.0383871 3.70692e-09 -8.05676e-27 3.73505 
252 3.18141 3.65684 -0.475427 0.885352 7.44596e-07 2 0.275809 0.0869737 0.0375841 3.19054e-09 -4.88606e-27 3.65692 
253 3.10467 3.58009 -0.475427 0.885352 7.44596e-07 2 0.2744 0.0861802 0.0367953 2.74609e-09 -2.96318e-27 3.58017 
254 3.02929 3.50471 -0.475427 0.885352 7.44596e-07 2 0.272995 0.0853923 0.0360206 2.36356e-09 -1.79703e-27 3.50479 
255 2.95526 3.43068 -0.475427 0.885352 7.44596e-07 2 0.271597 0.0846099 0.0352597 2.03431e-09 -1.08982e-27 3.43076 
256 2.88256 3.35799 -0.475427 0.885352 7.44596e-07 2 0.270204 0.0838331 0.0345126 1.75093e-09 -6.60926e-28 3.35806 
257 2.81119 3.28661 -0.475427 0.885352 7.44596e-07 2 0.268817 0.0830619 0.033779 1.50702e-09 -4.00822e-28 3.28668 
258 2.74111 3.21654 -0.475427 0.885352 7.44596e-07 2 0.267436 0.0822961 0.0330588 1.29709e-09 -2.4308e-28 3.2166 
259 2.67231 3.14774 -0.475427 0.885352 7.44596e-07 2 0.26606 0.0815359 0.0323517 1.1164e-09 -1.47417e-28 3.14781 
260 2.60479 3.08022 -0.475427 0.885352 7.44596e-07 2 0.26469 0.0807813 0.0316577 9.60886e-10 -8.94019e-29 3.08028 
261 2.53851 3.01394 -0.475427 0.885352 7.44596e-07 2 0.263325 0.0800321 0.0309765 8.27033e-10 -5.42182e-29 3.014 
262 2.47347 2.9489 -0.475427 0.885352 7.44596e-07 2 0.261967 0.0792884 0.030308 7.11826e-10 -3.28809e-29 2.94896 
263 2.40964 2.88507 -0.475427 0.885352 7.44596e-07 2 0.260614 0.0785502 0.029652 6.12667e-10 -1.99408e-29 2.88513 
264 2.34701 2.82244 -0.475427 0.885352 7.44596e-07 2 0.259266 0.0778174 0.0290084 5.27321e-10 -1.20932e-29 2.8225 
265 2.28557 2.761 -0.475427 0.885352 7.44596e-07 2 0.257925 0.0770901 0.0283769 4.53865e-10 -7.33397e-30 2.76106 
266 2.22529 2.70072 -0.475427 0.885352 7.44596e-07 2 0.256589 0.0763682 0.0277573 3.90641e-10 -4.44772e-30 2.70078 
267 2.16617 2.64159 -0.475427 0.885352 7.44596e-07 2 0.255259 0.0756518 0.0271496 3.36224e-10 -2.69734e-30 2.64165 
268 2.10817 2.5836 -0.475427 0.885352 7.44596e-07 2 0.253934 0.0749407 0.0265536 2.89387e-10 -1.63582e-30 2.58366 
269 2.0513 2.52672 -0.475427 0.885352 7.44596e-07 2 0.252615 0.0742351 0.025969 2.49075e-10 -9.92048e-31 2.52678 
270 1.99552 2.47095 -0.475427 0.885352 7.44596e-07 2 0.251302 0.0735348 0.0253958 2.14378e-10 -6.01632e-31 2.471 
271 1.94083 2.41626 -0.475427 0.885352 7.44596e-07 2 0.249995 0.0728399 0.0248337 1.84515e-10 -3.64863e-31 2.41631 
272 1.88721 2.36263 -0.475427 0.885352 7.44596e-07 2 0.248693 0.0721504 0.0242826 1.58812e-10 -2.21273e-31 2.36269 
273 1.83464 2.31006 -0.475427 0.885352 7.44596e-07 2 0.247397 0.0714661 0.0237423 1.36689e-10 -1.34192e-31 2.31011 
274 1.7831 2.25853 -0.475427 0.885352 7.44596e-07 2 0.246107 0.0707872 0.0232126 1.17648e-10 -8.13814e-32 2.25858 
275 1.73259 2.20801 -0.475427 0.885352 7.44596e-07 2 0.244822 0.0701136 0.0226934 1.0126e-10 -4.93541e-32 2.20806 
276 1.68308 2.15851 -0.475427 0.885352 7.44596e-07 2 0.243543 0.0694453 0.0221846 8.71539e-11 -2.99311e-32 2.15855 
277 1.63456 2.10998 -0.475427 0.885352 7.44596e-07 2 0.24227 0.0687822 0.0216859 7.50132e-11 -1.81518e-32 2.11003 
278 1.58701 2.06244 -0.475427 0.885352 7.44596e-07 2 0.241002 0.0681244 0.0211973 6.45637e-11 -1.10083e-32 2.06248 
279 1.54042 2.01585 -0.475427 0.885352 7.44596e-07 2 0.23974 0.0674718 0.0207184 5.55699e-11 -6.67602e-33 2.01589 
